size_cluster,sil_score
26.0,0.5243724704102418
21.0,0.522859203383273
33.0,0.5191137449366678
24.0,0.5172489827133555
20.0,0.5160150980104024
39.0,0.5156789613807214
30.0,0.5156017861591993
17.0,0.5154840916904806
37.0,0.5152839714809233
22.0,0.5134644179123908
32.0,0.5128759038679003
36.0,0.512539064797833
19.0,0.5095731455844414
40.0,0.509274729237263
15.0,0.5083663423331302
35.0,0.5080213419151786
38.0,0.5077665972040164
31.0,0.5075547746246831
28.0,0.5068699161440265
27.0,0.5068483774281446
25.0,0.5066418529750955
29.0,0.5027845008539169
16.0,0.5007550500524167
23.0,0.5007266058322339
12.0,0.497846675756098
34.0,0.497463691949136
18.0,0.4970409419228844
5.0,0.4942662892535618
6.0,0.4933846512203916
13.0,0.49291943785089576
14.0,0.4881001227295257
7.0,0.4880481307126307
8.0,0.4873912384568239
11.0,0.4817112310175947
2.0,0.4806046529456696
10.0,0.47907568229269265
4.0,0.47119177957942293
9.0,0.4659297054250679
3.0,0.42772429284244484
